kingdom	phylum	class	order	family	genus	species	status	query
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_macroglossa	col_synonym	Rana_macroglossa
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_maculatus	col_synonym	Rana_maculata
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_magnaocularis	col_synonym	Rana_magnaocularis
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_montezumae	col_synonym	Rana_montezumae
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_neovolcanicus	col_synonym	Rana_neovolcanica
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_okaloosae	col_synonym	Rana_okaloosae
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_omiltemanus	col_synonym	Rana_omiltemana
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_onca	col_synonym	Rana_onca
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_palmipes	col_synonym	Rana_palmipes
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_palustris	col_synonym	Rana_palustris
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_pipiens	col_synonym	Rana_pipiens
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_psilonota	col_synonym	Rana_psilonota
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_pustulosus	col_synonym	Rana_pustulosa
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_septentrionalis	col_synonym	Rana_septentrionalis
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_sevosus	col_synonym	Rana_sevosa
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_spectabilis	col_synonym	Rana_spectabilis
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_sphenocephalus	col_synonym	Rana_sphenocephala
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_chiricahuensis	col_synonym	Rana_subaquavocalis
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_sylvaticus	col_synonym	Rana_sylvatica
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_tarahumarae	col_synonym	Rana_tarahumarae
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_taylori	col_synonym	Rana_taylori
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_tlaloci	col_synonym	Rana_tlaloci
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_vaillanti	col_synonym	Rana_vaillanti
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_vibicarius	col_synonym	Rana_vibicaria
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_virgatipes	col_synonym	Rana_virgatipes
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_warszewitschii	col_synonym	Rana_warszewitschii
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_yavapaiensis	col_synonym	Rana_yavapaiensis
Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates_zweifeli	col_synonym	Rana_zweifeli
Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus_losea	col_synonym	Rattus_sakeratensis
Animalia	Chordata	Aves	Passeriformes	Regulidae	Regulus	Regulus_regulus	col_synonym	Regulus_teneriffae
Animalia	Chordata	Reptilia	Squamata	Leptotyphlopidae	Rena	Rena_humilis	col_synonym	Rena_humilis
Animalia	Chordata	Reptilia	Squamata	Natricidae	Rhabdophis	Rhabdophis_guangdongensis	col_synonym	Rhabdophis_guangdongensis
Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	Rhacophorus_taronensis	col_synonym	Rhacophorus_gongshanensis
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Rhagerhis	Rhagerhis_moilensis	col_synonym	Rhagerhis_moilensis
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Rhamphiophis	Rhamphiophis_rostratus	col_synonym	Rhamphiophis_rostratus
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Rhamphiophis	Rhamphiophis_rubropunctatus	col_synonym	Rhamphiophis_rubropunctatus
Animalia	Chordata	Reptilia	Squamata	Colubridae	Zamenis	Zamenis_scalaris	col_synonym	Rhinechis_scalaris
Animalia	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus_pusillus	col_synonym	Rhinolophus_blythi
Animalia	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus_borneensis	col_synonym	Rhinolophus_chaseni
Animalia	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus_hildebrandtii	col_synonym	Rhinolophus_hildebrandti
Animalia	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus_cornutus	col_synonym	Rhinolophus_perditus
Animalia	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus_cornutus	col_synonym	Rhinolophus_pumilus
Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Rhipidomys	Rhipidomys_latimanus	col_synonym	Rhipidomys_scandens
Animalia	Chordata	Aves	Passeriformes	Stenostiridae	Chelidorhynx	Chelidorhynx_hypoxantha	col_synonym	Rhipidura_hypoxantha
Animalia	Chordata	Aves	Passeriformes	Rhipiduridae	Rhipidura	Rhipidura_verreauxi	col_synonym	Rhipidura_spilodera
Animalia	Chordata	Reptilia	Squamata	Gekkonidae	Rhoptropella	Rhoptropella_ocellata	col_synonym	Rhoptropella_ocellata
Animalia	Chordata	Reptilia	Squamata	Gekkonidae	Rhoptropus	Rhoptropus_diporus	col_synonym	Rhoptropus_diporus
Animalia	Chordata	Reptilia	Squamata	Colubridae	Gonyosoma	Gonyosoma_boulengeri	col_synonym	Rhynchophis_boulengeri
Animalia	Chordata	Reptilia	Squamata	Scincidae	Ristella	Ristella_rurkii	col_synonym	Ristella_rurkii
Animalia	Chordata	Reptilia	Squamata	Dipsadidae	Rodriguesophis	Rodriguesophis_iglesiasi	col_synonym	Rodriguesophis_iglesiasi
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aspalathus	Aspalathus_rugosa	col_synonym	Rugosa_rugosa
Animalia	Chordata	Aves	Passeriformes	Cotingidae	Rupicola	Rupicola_peruvianus	col_synonym	Rupicola_peruviana
Animalia	Chordata	Reptilia	Squamata	Agamidae	Saara	Saara_hardwickii	col_synonym	Saara_hardwickii
Animalia	Chordata	Mammalia	Rodentia	Nesomyidae	Saccostomus	Saccostomus_campestris	col_synonym	Saccostomus_mashonae
Animalia	Chordata	Mammalia	Rodentia	Nesomyidae	Saccostomus	Saccostomus_mearnsi	col_synonym	Saccostomus_umbriventer
Animalia	Chordata	Mammalia	Primates	Callitrichidae	Leontocebus	Leontocebus_cruzlimai	col_synonym	Saguinus_cruzlimai
Animalia	Chordata	Mammalia	Primates	Callitrichidae	Leontocebus	Leontocebus_fuscicollis	col_synonym	Saguinus_fuscicollis
Animalia	Chordata	Mammalia	Primates	Callitrichidae	Leontocebus	Leontocebus_nigricollis	col_synonym	Saguinus_graellsi
Animalia	Chordata	Mammalia	Primates	Callitrichidae	Leontocebus	Leontocebus_weddelli	col_synonym	Saguinus_melanoleucus
Animalia	Chordata	Mammalia	Primates	Callitrichidae	Leontocebus	Leontocebus_nigricollis	col_synonym	Saguinus_nigricollis
Animalia	Chordata	Mammalia	Primates	Callitrichidae	Leontocebus	Leontocebus_tripartitus	col_synonym	Saguinus_tripartitus
Animalia	Chordata	Reptilia	Squamata	Scincidae	Saiphos	Saiphos_equalis	col_synonym	Saiphos_equalis
Animalia	Chordata	Aves	Passeriformes	Thamnophilidae	Thamnophilus	Thamnophilus_bernardi	col_synonym	Sakesphorus_bernardi
Animalia	Chordata	Reptilia	Squamata	Teiidae	Salvator	Salvator_duseni	col_synonym	Salvator_duseni
Animalia	Chordata	Reptilia	Squamata	Teiidae	Salvator	Salvator_rufescens	col_synonym	Salvator_rufescens
Animalia	Chordata	Reptilia	Squamata	Scincidae	Saproscincus	Saproscincus_mustelinus	col_synonym	Saproscincus_mustelinus
Animalia	Chordata	Aves	Passeriformes	Sturnidae	Hartlaubius	Hartlaubius_auratus	col_synonym	Saroglossa_aurata
Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Saxicola	Saxicola_torquatus	col_synonym	Saxicola_torquata
Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus	Molothrus_oryzivorus	col_synonym	Scaphidura_oryzivora
Animalia	Chordata	Reptilia	Squamata	Colubridae	Scaphiophis	Scaphiophis_albopunctatus	col_synonym	Scaphiophis_albopunctatus
Animalia	Chordata	Reptilia	Squamata	Lacertidae	Teira	Teira_perspicillata	col_synonym	Scelarcis_perspicillata
Animalia	Chordata	Reptilia	Squamata	Phrynosomatidae	Sceloporus	Sceloporus_aureolus	col_synonym	Sceloporus_aureolus
